ID,NAME,ALIAS,COVER,CATEGORIES,PUBLISHED_AT,MINUTE,SCORE,REGIONS
75,疯狂原始人,The Croods,https://p1.meituan.net/movie/bc022b86345c643ca21d759166f77a553679589.jpg@464w_644h_1e_1c,"['喜剧', '动画', '冒险']",2013-04-20,98,8.9,['美国']
76,阿凡达,Avatar,https://p1.meituan.net/movie/e540384dc6c9f63bdb27cc554588a77f44305.jpg@464w_644h_1e_1c,"['动作', '科幻', '冒险']",2010-01-04,162,8.9,"['美国', '英国']"
77,哈尔的移动城堡,ハウルの動く城,https://p0.meituan.net/movie/0127b451d5b8f0679c6f81c8ed414bb2432442.jpg@464w_644h_1e_1c,"['动画', '奇幻', '冒险']",2004-09-05,119,8.9,['日本']
78,盗梦空间,Inception,https://p1.meituan.net/movie/d40efe1183f29d5900f5c60be3c8a89d339225.jpg@464w_644h_1e_1c,"['剧情', '科幻', '悬疑', '冒险']",2010-09-01,148,8.9,"['美国', '英国']"
79,忠犬八公的故事,Hachi: A Dog's Tale,https://p0.meituan.net/movie/5f0a709378d6b567807aa9685610f818282136.jpg@464w_644h_1e_1c,['剧情'],2009-06-13,93,8.9,"['美国', '英国']"
80,拯救大兵瑞恩,Saving Private Ryan,https://p1.meituan.net/movie/a2a287c77415dc1f85b04d288f7d63ab1089754.jpg@464w_644h_1e_1c,"['剧情', '历史', '战争']",1998-11-13,169,8.9,['美国']
81,活着,To Live,https://p0.meituan.net/movie/4c41068ef7608c1d4fbfbe6016e589f7204391.jpg@464w_644h_1e_1c,"['剧情', '家庭', '历史']",1994-05-17,132,9.0,"['中国大陆', '中国香港']"
82,机器人总动员,WALL·E,https://p0.meituan.net/movie/267dd2483f0fb57081474c00fbea38451415571.jpg@464w_644h_1e_1c,"['喜剧', '科幻', '动画']",2008-06-27,98,9.0,['美国']
83,天堂电影院,Nuovo Cinema Paradiso,https://p0.meituan.net/movie/76fc92cfa6c8f2959431b8aa604ef7ae126414.jpg@464w_644h_1e_1c,"['剧情', '爱情']",1988-11-17,155,9.0,"['意大利', '法国']"
75,疯狂原始人,The Croods,https://p1.meituan.net/movie/bc022b86345c643ca21d759166f77a553679589.jpg@464w_644h_1e_1c,"['喜剧', '动画', '冒险']",2013-04-20,98,8.9,['美国']
76,阿凡达,Avatar,https://p1.meituan.net/movie/e540384dc6c9f63bdb27cc554588a77f44305.jpg@464w_644h_1e_1c,"['动作', '科幻', '冒险']",2010-01-04,162,8.9,"['美国', '英国']"
77,哈尔的移动城堡,ハウルの動く城,https://p0.meituan.net/movie/0127b451d5b8f0679c6f81c8ed414bb2432442.jpg@464w_644h_1e_1c,"['动画', '奇幻', '冒险']",2004-09-05,119,8.9,['日本']
78,盗梦空间,Inception,https://p1.meituan.net/movie/d40efe1183f29d5900f5c60be3c8a89d339225.jpg@464w_644h_1e_1c,"['剧情', '科幻', '悬疑', '冒险']",2010-09-01,148,8.9,"['美国', '英国']"
79,忠犬八公的故事,Hachi: A Dog's Tale,https://p0.meituan.net/movie/5f0a709378d6b567807aa9685610f818282136.jpg@464w_644h_1e_1c,['剧情'],2009-06-13,93,8.9,"['美国', '英国']"
80,拯救大兵瑞恩,Saving Private Ryan,https://p1.meituan.net/movie/a2a287c77415dc1f85b04d288f7d63ab1089754.jpg@464w_644h_1e_1c,"['剧情', '历史', '战争']",1998-11-13,169,8.9,['美国']
81,活着,To Live,https://p0.meituan.net/movie/4c41068ef7608c1d4fbfbe6016e589f7204391.jpg@464w_644h_1e_1c,"['剧情', '家庭', '历史']",1994-05-17,132,9.0,"['中国大陆', '中国香港']"
